# 2017-02-25 17:40:17.479122
# CT_x9
#  path: ../data_final/CT_x9/
#  thresholds: -444.68, 332.0
#  DC-average: 0.9737 (radius = 4)
#  DC-average (opti): 0.9737 (bestRadius: 3.98)
# MR_x9
#  path: ../data_final/MR_x9/
#  thresholds: 690.36, 2078.0
#  DC-average: 0.8779 (radius = 2)
#  DC-average (opti): 0.9016 (bestRadius: 2.1)
#  DC-average (CT-COM): 0.7542
#  DC-average (CT-COM, opti): 0.7656
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  DC_CT  DC_CT_opti  DC_MR  DC_MR_opti  DC_MR_CT-COM  DC_MR_opti_CT-COM  warpDC  warpDC_opti
140     -0.0202     -0.604     0.6043     0.9885     0.9885     0.8996     0.9544     0.803     0.8191     0.0607     0.0276
141     -0.0229     -0.5919     0.5924     0.9874     0.9874     0.8963     0.951     0.8     0.8163     0.0614     0.029
142     -0.0169     -0.61     0.6102     0.9884     0.9884     0.8963     0.951     0.8     0.8163     0.0633     0.0299
143     -0.0043     -0.6253     0.6254     0.9842     0.9842     0.8963     0.951     0.8     0.8163     0.0649     0.0306
144     -0.0043     -0.6486     0.6486     0.9863     0.9863     0.8963     0.951     0.8     0.8163     0.0673     0.0317
145     -0.0091     -0.6394     0.6395     0.9874     0.9874     0.8963     0.951     0.8     0.8163     0.0663     0.0313
146     -0.003     -0.6358     0.6358     0.9821     0.9821     0.8963     0.951     0.8     0.8163     0.0659     0.0311
147     0.0098     -0.6464     0.6465     0.9842     0.9842     0.8963     0.951     0.8     0.8163     0.067     0.0316
148     -0.0059     -0.6549     0.6549     0.9853     0.9853     0.8963     0.951     0.8     0.8163     0.0679     0.0321
149     -0.012     -0.651     0.6511     0.9864     0.9864     0.8963     0.951     0.8     0.8163     0.0675     0.0319
150     -0.0058     -0.6622     0.6623     0.9864     0.9864     0.8963     0.951     0.8     0.8163     0.0687     0.0324
151     -0.0083     -0.6589     0.659     0.9853     0.9853     0.8963     0.951     0.8     0.8163     0.0683     0.0323
152     -0.001     -0.6528     0.6528     0.9853     0.9853     0.8963     0.951     0.8     0.8163     0.0677     0.032
153     -0.005     -0.6579     0.658     0.9863     0.9863     0.8963     0.951     0.8     0.8163     0.0682     0.0322
154     -0.0081     -0.6814     0.6815     0.9484     0.9484     0.8963     0.951     0.7037     0.7279     0.0707     0.0334
155     -0.0094     -0.6691     0.6691     0.9853     0.9853     0.8963     0.951     0.8     0.8163     0.0694     0.0328
156     -0.0067     -0.675     0.675     0.9853     0.9853     0.8963     0.951     0.8     0.8163     0.07     0.033
