# 2017-01-13 18:03:14.757318
# CT_x100
#  path: ../data_final/CT_x100/
#  thresholds: -457.4, 329.0
#  dc-average: 0.99 (radius = 4)
#  dc-average (opti): 0.99 (bestRadius: 4.0)
# MR_x100
#  path: ../data_final/MR_x100/
#  thresholds: 707.85, 2095.0
#  dc-average: 0.8977 (radius = 2)
#  dc-average (opti): 0.9247 (bestRadius: 2.12)
#  dc-average (CT-COM): 0.783
#  dc-average (CT-COM, opti): 0.7872
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  dc_CT  dc_CT_opti  dc_MR  dc_MR_opti  dc_MR_CT-COM  dc_MR_opti_CT-COM
127     -0.0211     -0.6185     0.6189     0.9901     0.9901     0.9068     0.9539     0.7942     0.8003
128     -0.0141     -0.6137     0.6138     0.9903     0.9903     0.9068     0.9545     0.7949     0.8009
129     -0.0225     -0.6012     0.6016     0.9906     0.9906     0.9065     0.9549     0.7939     0.8
130     -0.0329     -0.6196     0.6205     0.992     0.992     0.9065     0.9542     0.7946     0.8007
131     -0.0257     -0.6076     0.6082     0.9912     0.9912     0.9061     0.9513     0.7949     0.8009
132     -0.0313     -0.6153     0.6161     0.991     0.991     0.9061     0.9513     0.7956     0.8016
133     -0.024     -0.6104     0.6109     0.991     0.991     0.9064     0.951     0.7952     0.8012
134     -0.024     -0.6029     0.6034     0.9923     0.9923     0.9067     0.9507     0.7961     0.8021
135     -0.0232     -0.6104     0.6108     0.9924     0.9924     0.907     0.9516     0.7971     0.803
136     -0.0295     -0.6291     0.6298     0.9933     0.9933     0.9076     0.9509     0.7983     0.8035
137     -0.029     -0.6148     0.6155     0.992     0.992     0.9076     0.9516     0.7997     0.8048
138     -0.0307     -0.6241     0.6248     0.9924     0.9924     0.9061     0.9507     0.8025     0.8074
139     -0.0273     -0.6049     0.6056     0.9928     0.9928     0.9058     0.951     0.8036     0.8085
140     -0.0212     -0.6062     0.6066     0.9929     0.9929     0.9048     0.9508     0.8041     0.809
141     -0.023     -0.5941     0.5946     0.9907     0.9907     0.9042     0.9502     0.8043     0.8091
142     -0.018     -0.6118     0.612     0.9916     0.9916     0.9023     0.9496     0.8047     0.8095
143     -0.0057     -0.6264     0.6264     0.9908     0.9908     0.9018     0.9497     0.8049     0.8097
144     -0.0065     -0.6491     0.6491     0.9927     0.9927     0.9005     0.9485     0.8052     0.81
145     -0.0109     -0.6405     0.6406     0.9923     0.9923     0.8999     0.9479     0.8047     0.8095
146     -0.0042     -0.6367     0.6367     0.9918     0.9918     0.8996     0.9476     0.8044     0.8092
147     0.0076     -0.6472     0.6472     0.9917     0.9917     0.8999     0.9479     0.8047     0.8095
148     -0.0071     -0.6556     0.6557     0.9902     0.9902     0.9009     0.9488     0.8041     0.809
149     -0.0132     -0.6515     0.6517     0.9901     0.9901     0.9011     0.9484     0.8029     0.8078
150     -0.0067     -0.6629     0.6629     0.9892     0.9892     0.902     0.9493     0.8023     0.8073
151     -0.0086     -0.6593     0.6593     0.9903     0.9903     0.9026     0.9499     0.8022     0.8072
