# 2017-01-16 22:57:57.881992
# CT_x1
#  path: ../data_final/CT_x1/
#  thresholds: -430.61, 333.0
#  dc-average: 0.861 (radius = 4)
#  dc-average (opti): 0.8671 (bestRadius: 4.04)
# MR_x1
#  path: ../data_final/MR_x1/
#  thresholds: 630.99, 2079.0
#  dc-average: 0.7049 (radius = 2)
#  dc-average (opti): 0.751 (bestRadius: 2.2)
#  dc-average (CT-COM): 0.5954
#  dc-average (CT-COM, opti): 0.6416
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  dc_CT  dc_CT_opti  dc_MR  dc_MR_opti  dc_MR_CT-COM  dc_MR_opti_CT-COM  warpDC  warpDC_opti
129     0.0182     -0.5906     0.5909     0.8824     0.8909     0.6452     0.7179     0.6452     0.7179     0.2097     0.1667
130     0.0073     -0.6106     0.6107     0.8932     0.9009     0.6452     0.7179     0.6452     0.7179     0.2167     0.1722
131     0.0154     -0.5984     0.5986     0.8932     0.9009     0.6667     0.7368     0.6667     0.7368     0.1995     0.1575
132     0.009     -0.6122     0.6123     0.8824     0.8909     0.6667     0.7368     0.6667     0.7368     0.2041     0.1611
133     0.0191     -0.6032     0.6035     0.8824     0.8909     0.6667     0.7368     0.6667     0.7368     0.2012     0.1588
134     0.0216     -0.5946     0.595     0.8824     0.8909     0.6667     0.7368     0.6667     0.7368     0.1983     0.1566
135     0.0209     -0.6047     0.6051     0.8713     0.8807     0.6667     0.7368     0.6667     0.7368     0.2017     0.1592
136     0.0138     -0.6243     0.6244     0.8824     0.8909     0.6667     0.7368     0.6667     0.7368     0.2081     0.1643
137     0.0149     -0.6107     0.6108     0.8932     0.9009     0.6667     0.7368     0.6667     0.7368     0.2036     0.1607
138     0.0141     -0.6199     0.6201     0.8932     0.9009     0.6667     0.7368     0.6667     0.7368     0.2067     0.1632
139     0.0169     -0.6006     0.6009     0.8824     0.8909     0.6667     0.7368     0.6667     0.7368     0.2003     0.1581
140     0.021     -0.6039     0.6043     0.8932     0.9009     0.6667     0.7368     0.6667     0.7368     0.2014     0.159
141     0.021     -0.5921     0.5925     0.8932     0.9009     0.7097     0.7692     0.7097     0.7692     0.172     0.1367
142     0.024     -0.6092     0.6097     0.8824     0.8909     0.6875     0.75     0.6875     0.75     0.1905     0.1524
143     0.0368     -0.6261     0.6272     0.8824     0.8909     0.6875     0.75     0.6875     0.75     0.196     0.1568
144     0.0388     -0.6495     0.6507     0.8713     0.8807     0.6875     0.75     0.6875     0.75     0.2033     0.1627
145     0.0292     -0.6468     0.6475     0.8713     0.8807     0.6875     0.75     0.6875     0.75     0.2023     0.1619
146     0.0397     -0.6358     0.6371     0.8824     0.8909     0.6875     0.75     0.6875     0.75     0.1991     0.1593
147     0.0516     -0.6476     0.6497     0.86     0.8704     0.6875     0.75     0.6875     0.75     0.203     0.1624
148     0.0371     -0.6575     0.6585     0.8824     0.8909     0.6875     0.75     0.6875     0.75     0.2058     0.1646
149     0.0277     -0.6557     0.6563     0.8824     0.8909     0.6875     0.75     0.6875     0.75     0.2051     0.1641
150     0.0343     -0.6658     0.6667     0.8824     0.8909     0.6875     0.75     0.6875     0.75     0.2083     0.1667
151     0.0376     -0.6632     0.6643     0.8824     0.8909     0.6875     0.75     0.6875     0.75     0.2076     0.1661
152     0.0428     -0.6522     0.6536     0.8824     0.8909     0.6875     0.75     0.6875     0.75     0.2042     0.1634
153     0.0393     -0.6619     0.6631     0.8713     0.8807     0.6875     0.75     0.6875     0.75     0.2072     0.1658
154     0.0306     -0.6863     0.687     0.8317     0.844     0.6875     0.75     0.5     0.55     0.2147     0.1717
155     0.0313     -0.6696     0.6703     0.8713     0.8807     0.6452     0.7179     0.6452     0.7179     0.2379     0.1891
156     0.0327     -0.6787     0.6795     0.8317     0.844     0.6452     0.7179     0.4516     0.5128     0.2411     0.1917
157     0.0252     -0.6704     0.6709     0.8713     0.8807     0.6452     0.7179     0.6452     0.7179     0.2381     0.1892
