# 2017-01-17 14:59:40.310514
# CT_x25
#  path: ../data_final/CT_x25/
#  thresholds: -457.88, 331.0
#  DC-average: 0.9771 (radius = 4)
#  DC-average (opti): 0.9771 (bestRadius: 4.0)
# MR_x25
#  path: ../data_final/MR_x25/
#  thresholds: 705.15, 2087.0
#  DC-average: 0.8943 (radius = 2)
#  DC-average (opti): 0.9145 (bestRadius: 2.16)
#  DC-average (CT-COM): 0.7664
#  DC-average (CT-COM, opti): 0.7715
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  DC_CT  DC_CT_opti  DC_MR  DC_MR_opti  DC_MR_CT-COM  DC_MR_opti_CT-COM  warpDC  warpDC_opti
144     -0.0065     -0.6492     0.6492     0.9787     0.9787     0.8937     0.9364     0.8011     0.8062     0.069     0.0413
145     -0.0113     -0.6406     0.6407     0.9791     0.9791     0.8937     0.9364     0.8011     0.8062     0.0681     0.0408
146     -0.0045     -0.637     0.637     0.9794     0.9794     0.8937     0.9364     0.8011     0.8062     0.0677     0.0405
147     0.0072     -0.6475     0.6476     0.9779     0.9779     0.8937     0.9364     0.8011     0.8062     0.0688     0.0412
148     -0.0071     -0.6557     0.6557     0.9772     0.9772     0.895     0.9376     0.8022     0.8072     0.0689     0.0409
149     -0.0134     -0.6514     0.6516     0.9787     0.9787     0.895     0.9376     0.8022     0.8072     0.0684     0.0407
150     -0.0069     -0.663     0.663     0.9776     0.9776     0.8934     0.9362     0.8005     0.8057     0.0707     0.0423
151     -0.0086     -0.6597     0.6597     0.9795     0.9795     0.8959     0.9386     0.8     0.8052     0.0687     0.0405
152     -0.0018     -0.6538     0.6538     0.9779     0.9779     0.8984     0.9385     0.7967     0.8021     0.0665     0.0402
153     -0.0063     -0.6582     0.6582     0.9775     0.9775     0.8984     0.9385     0.7967     0.8021     0.0669     0.0405
154     -0.0096     -0.6811     0.6812     0.9669     0.9669     0.8984     0.9385     0.7418     0.75     0.0692     0.0419
155     -0.0105     -0.6692     0.6692     0.9791     0.9791     0.8984     0.9385     0.7967     0.8021     0.068     0.0412
156     -0.0082     -0.6748     0.6749     0.9798     0.9798     0.8984     0.9385     0.7967     0.8021     0.0686     0.0415
157     -0.0158     -0.67     0.6702     0.9779     0.9779     0.8984     0.9385     0.7967     0.8021     0.0681     0.0412
158     -0.0053     -0.66     0.66     0.9783     0.9783     0.8996     0.9397     0.795     0.8005     0.0663     0.0398
159     -0.0013     -0.6714     0.6714     0.9787     0.9787     0.8996     0.9397     0.795     0.8005     0.0674     0.0405
160     -0.0016     -0.6787     0.6787     0.9775     0.9775     0.8996     0.9397     0.795     0.8005     0.0681     0.0409
161     0.0025     -0.6691     0.6691     0.9767     0.9767     0.8996     0.9397     0.795     0.8005     0.0672     0.0404
